id|conexion|vel_conexion|TV
241|ADSL|25MB|tv-futbol
243|ADSL|20MB|tv-futbol
244|FIBRA|50MB|tv-familiar
245|FIBRA|200MB|tv-futbol
246|ADSL|30MB|tv-familiar
247|FIBRA|300MB|tv-futbol
248|ADSL|20MB|tv-futbol
249|FIBRA|50MB|tv-futbol
250|FIBRA|300MB|tv-futbol
251|ADSL|35MB|tv-familiar
252|FIBRA|50MB|tv-familiar
253|FIBRA|200MB|tv-futbol
254|ADSL|25MB|tv-futbol
255|ADSL|25MB|tv-futbol
256|ADSL|25MB|tv-total
257|FIBRA|600MB|tv-familiar
258|FIBRA|50MB|tv-familiar
259|ADSL|10MB|tv-familiar
260|FIBRA|50MB|tv-futbol
261|ADSL|20MB|tv-total
262|FIBRA|300MB|tv-futbol
263|FIBRA|200MB|tv-total
264|FIBRA|300MB|tv-total
265|ADSL|20MB|tv-futbol
266|ADSL|15MB|tv-familiar
267|FIBRA|600MB|tv-familiar
268|FIBRA|200MB|tv-futbol
269|FIBRA|600MB|tv-futbol
270|FIBRA|50MB|tv-familiar
271|FIBRA|300MB|tv-total
272|ADSL|15MB|tv-futbol
273|FIBRA|300MB|tv-futbol
274|FIBRA|100MB|tv-futbol
275|FIBRA|100MB|tv-futbol
276|ADSL|35MB|tv-familiar
277|FIBRA|300MB|tv-total
278|FIBRA|600MB|tv-futbol
279|FIBRA|50MB|tv-total
280|ADSL|10MB|tv-familiar
281|FIBRA|100MB|tv-futbol
282|FIBRA|300MB|tv-familiar
283|ADSL|30MB|tv-familiar
284|ADSL|35MB|tv-total
285|ADSL|10MB|tv-futbol
286|ADSL|35MB|tv-futbol
287|FIBRA|50MB|tv-futbol
288|ADSL|25MB|tv-futbol
289|FIBRA|600MB|tv-total
290|ADSL|20MB|tv-futbol
291|ADSL|30MB|tv-total
292|FIBRA|200MB|tv-futbol
293|FIBRA|200MB|tv-futbol
294|FIBRA|100MB|tv-familiar
295|FIBRA|50MB|tv-futbol
296|FIBRA|50MB|tv-familiar
297|ADSL|25MB|tv-familiar
298|ADSL|20MB|tv-familiar
299|ADSL|35MB|tv-futbol
300|ADSL|25MB|tv-familiar
301|ADSL|30MB|tv-futbol
302|ADSL|35MB|tv-total
303|FIBRA|50MB|tv-futbol
304|ADSL|30MB|tv-futbol
305|FIBRA|600MB|tv-futbol
306|ADSL|20MB|tv-futbol
307|FIBRA|600MB|tv-total
308|ADSL|10MB|tv-familiar
309|ADSL|25MB|tv-futbol
310|ADSL|20MB|tv-futbol
311|ADSL|25MB|tv-total
312|FIBRA|300MB|tv-futbol
314|ADSL|20MB|tv-futbol
315|ADSL|15MB|tv-familiar
316|FIBRA|50MB|tv-futbol
317|ADSL|10MB|tv-familiar
318|ADSL|10MB|tv-familiar
319|ADSL|15MB|tv-familiar
320|ADSL|35MB|tv-futbol
321|FIBRA|300MB|tv-total
322|ADSL|25MB|tv-familiar
323|FIBRA|100MB|tv-futbol
324|FIBRA|600MB|tv-futbol
325|ADSL|35MB|tv-futbol
326|ADSL|30MB|tv-familiar
327|ADSL|20MB|tv-futbol
328|ADSL|25MB|tv-futbol
329|ADSL|30MB|tv-futbol
331|ADSL|25MB|tv-familiar
332|FIBRA|200MB|tv-familiar
333|ADSL|20MB|tv-total
334|ADSL|15MB|tv-futbol
335|ADSL|100MB|tv-futbol
336|ADSL|15MB|tv-futbol
337|ADSL|20MB|tv-familiar
339|ADSL|15MB|tv-familiar
340|FIBRA|100MB|tv-total
342|ADSL|10MB|tv-total
343|FIBRA|300MB|tv-familiar
344|FIBRA|50MB|tv-familiar
345|ADSL|35MB|tv-futbol
347|FIBRA|50MB|tv-total
349|FIBRA|100MB|tv-total
350|FIBRA|100MB|tv-familiar
351|FIBRA|300MB|tv-total
352|FIBRA|300MB|tv-futbol
353|ADSL|30MB|tv-total
354|FIBRA|100MB|tv-familiar
355|ADSL|35MB|tv-total
356|ADSL|10MB|tv-familiar
358|FIBRA|300MB|tv-futbol
359|FIBRA|200MB|tv-futbol
360|ADSL|10MB|tv-futbol
361|ADSL|10MB|tv-futbol
362|FIBRA|200MB|tv-futbol
363|FIBRA|600MB|tv-futbol
364|ADSL|20MB|tv-futbol
365|FIBRA|50MB|tv-familiar
366|FIBRA|50MB|tv-futbol
367|FIBRA|300MB|tv-futbol
368|ADSL|20MB|tv-futbol
369|FIBRA|200MB|tv-futbol
370|FIBRA|50MB|tv-total
371|ADSL|25MB|tv-futbol
372|FIBRA|600MB|tv-futbol
373|FIBRA|600MB|tv-familiar
374|FIBRA|200MB|tv-familiar
375|ADSL|20MB|tv-familiar
376|ADSL|10MB|tv-futbol
377|ADSL|15MB|tv-familiar
378|ADSL|25MB|tv-futbol
379|FIBRA|100MB|tv-familiar
380|ADSL|35MB|tv-familiar
381|FIBRA|100MB|tv-futbol
382|FIBRA|50MB|tv-futbol
386|ADSL|10MB|tv-futbol
387|FIBRA|100MB|tv-familiar
388|ADSL|30MB|tv-futbol
389|FIBRA|300MB|tv-familiar
390|ADSL|600MB|tv-futbol
391|FIBRA|600MB|tv-futbol
392|FIBRA|50MB|tv-futbol
393|ADSL|15MB|tv-futbol
394|ADSL|15MB|tv-futbol
395|FIBRA|300MB|tv-futbol
396|ADSL|30MB|tv-futbol
397|FIBRA|600MB|tv-futbol
398|FIBRA|100MB|tv-futbol
399|ADSL|30MB|tv-futbol
400|FIBRA|50MB|tv-total
401|ADSL|10MB|tv-futbol
402|ADSL|35MB|tv-futbol
403|FIBRA|200MB|tv-futbol
404|FIBRA|50MB|tv-futbol
405|FIBRA|200MB|tv-familiar
406|ADSL|15MB|tv-familiar
407|ADSL|10MB|tv-familiar
408|ADSL|25MB|tv-familiar
409|FIBRA|50MB|tv-futbol
410|ADSL|20MB|tv-futbol
411|ADSL|35MB|tv-total
412|ADSL|20MB|tv-futbol
413|FIBRA|200MB|tv-futbol
414|FIBRA|300MB|tv-familiar
415|ADSL|20MB|tv-total
416|FIBRA|50MB|tv-futbol
417|ADSL|10MB|tv-total
418|ADSL|20MB|tv-futbol
419|FIBRA|600MB|tv-futbol
420|ADSL|30MB|tv-familiar
421|FIBRA|200MB|tv-familiar
422|FIBRA|200MB|tv-total
423|FIBRA|50MB|tv-total
424|FIBRA|100MB|tv-futbol
425|FIBRA|50MB|tv-total
426|ADSL|35MB|tv-familiar
427|FIBRA|600MB|tv-futbol
428|FIBRA|300MB|tv-futbol
429|ADSL|10MB|tv-total
430|ADSL|10MB|tv-familiar
431|ADSL|10MB|tv-familiar
432|FIBRA|300MB|tv-familiar
433|FIBRA|200MB|tv-total
434|ADSL|35MB|tv-familiar
435|FIBRA|600MB|tv-familiar
437|ADSL|20MB|tv-futbol
438|FIBRA|100MB|tv-familiar
439|ADSL|20MB|tv-familiar
440|ADSL|25MB|tv-futbol
441|FIBRA|200MB|tv-futbol
442|FIBRA|200MB|tv-familiar
443|ADSL|10MB|tv-futbol
444|ADSL|30MB|tv-futbol
445|ADSL|10MB|tv-familiar
446|ADSL|50MB|tv-futbol
447|ADSL|15MB|tv-futbol
448|ADSL|20MB|tv-familiar
449|ADSL|35MB|tv-futbol
450|FIBRA|50MB|tv-futbol
451|FIBRA|200MB|tv-futbol
452|FIBRA|50MB|tv-futbol
453|ADSL|200MB|tv-futbol
454|FIBRA|600MB|tv-total
455|ADSL|10MB|tv-total
456|FIBRA|600MB|tv-futbol
457|FIBRA|600MB|tv-futbol
458|FIBRA|300MB|tv-futbol
459|FIBRA|300MB|tv-familiar
460|FIBRA|600MB|tv-futbol
461|FIBRA|300MB|tv-familiar
462|FIBRA|600MB|tv-futbol
463|FIBRA|50MB|tv-total
464|ADSL|30MB|tv-futbol
465|ADSL|30MB|tv-futbol
466|ADSL|600MB|tv-futbol
467|FIBRA|50MB|tv-futbol
468|ADSL|10MB|tv-futbol
469|ADSL|25MB|tv-familiar
470|ADSL|20MB|tv-futbol
471|ADSL|20MB|tv-futbol
472|FIBRA|50MB|tv-familiar
473|FIBRA|300MB|tv-futbol
474|FIBRA|600MB|tv-total
475|FIBRA|200MB|tv-total
476|FIBRA|300MB|tv-futbol
477|ADSL|300MB|tv-futbol
478|ADSL|20MB|tv-familiar
479|FIBRA|200MB|tv-futbol
480|FIBRA|300MB|tv-futbol
481|ADSL|15MB|tv-futbol
482|FIBRA|300MB|tv-futbol
483|ADSL|15MB|tv-futbol
484|ADSL|20MB|tv-total
485|FIBRA|600MB|tv-futbol
487|ADSL|20MB|tv-total
488|ADSL|25MB|tv-futbol
489|ADSL|30MB|tv-total
490|FIBRA|200MB|tv-familiar
491|ADSL|35MB|tv-futbol
492|ADSL|25MB|tv-futbol
493|FIBRA|50MB|tv-total
494|ADSL|30MB|tv-futbol
495|ADSL|25MB|tv-total
496|ADSL|20MB|tv-total
497|ADSL|35MB|tv-futbol
498|FIBRA|300MB|tv-total
500|FIBRA|300MB|tv-futbol
501|ADSL|35MB|tv-futbol
502|FIBRA|300MB|tv-futbol
504|FIBRA|100MB|tv-familiar
505|ADSL|10MB|tv-total
506|ADSL|35MB|tv-total
507|FIBRA|600MB|tv-familiar
508|FIBRA|200MB|tv-futbol
510|ADSL|20MB|tv-futbol
511|ADSL|25MB|tv-total
512|FIBRA|300MB|tv-futbol
513|FIBRA|50MB|tv-familiar
514|FIBRA|200MB|tv-futbol
515|ADSL|30MB|tv-futbol
516|ADSL|20MB|tv-futbol
517|ADSL|300MB|tv-futbol
518|ADSL|15MB|tv-total
519|FIBRA|100MB|tv-futbol
520|FIBRA|50MB|tv-familiar
521|FIBRA|50MB|tv-familiar
522|ADSL|15MB|tv-futbol
523|ADSL|20MB|tv-futbol
524|FIBRA|200MB|tv-familiar
525|ADSL|25MB|tv-futbol
526|ADSL|30MB|tv-futbol
527|ADSL|10MB|tv-futbol
528|ADSL|35MB|tv-futbol
529|ADSL|600MB|tv-futbol
530|ADSL|30MB|tv-familiar
531|FIBRA|100MB|tv-familiar
532|FIBRA|200MB|tv-futbol
533|FIBRA|100MB|tv-total
534|ADSL|25MB|tv-total
535|ADSL|30MB|tv-total
536|FIBRA|200MB|tv-total
537|FIBRA|100MB|tv-futbol
538|ADSL|15MB|tv-futbol
539|FIBRA|50MB|tv-familiar
540|ADSL|25MB|tv-futbol
541|FIBRA|300MB|tv-futbol
542|ADSL|25MB|tv-futbol
543|ADSL|35MB|tv-familiar
544|ADSL|600MB|tv-futbol
545|ADSL|30MB|tv-futbol
546|ADSL|15MB|tv-futbol
547|FIBRA|100MB|tv-futbol
548|FIBRA|200MB|tv-familiar
549|ADSL|25MB|tv-total
550|ADSL|15MB|tv-futbol
551|FIBRA|600MB|tv-futbol
552|ADSL|20MB|tv-familiar
553|FIBRA|600MB|tv-futbol
554|FIBRA|100MB|tv-familiar
557|ADSL|30MB|tv-familiar
558|FIBRA|100MB|tv-familiar
559|ADSL|25MB|tv-familiar
560|ADSL|10MB|tv-futbol
561|ADSL|30MB|tv-futbol
562|ADSL|30MB|tv-futbol
563|ADSL|30MB|tv-futbol
564|ADSL|100MB|tv-futbol
565|ADSL|30MB|tv-familiar
566|ADSL|30MB|tv-familiar
567|ADSL|20MB|tv-futbol
568|ADSL|30MB|tv-futbol
569|ADSL|10MB|tv-futbol
570|ADSL|10MB|tv-familiar
571|FIBRA|200MB|tv-futbol
572|ADSL|25MB|tv-familiar
573|ADSL|600MB|tv-futbol
574|ADSL|10MB|tv-familiar
575|ADSL|10MB|tv-futbol
576|FIBRA|50MB|tv-futbol
577|ADSL|25MB|tv-familiar
578|FIBRA|600MB|tv-total
579|ADSL|200MB|tv-futbol
580|ADSL|30MB|tv-futbol
581|ADSL|25MB|tv-familiar
582|FIBRA|100MB|tv-total
583|ADSL|10MB|tv-total
584|FIBRA|600MB|tv-futbol
585|FIBRA|200MB|tv-familiar
586|ADSL|15MB|tv-familiar
587|ADSL|35MB|tv-futbol
588|FIBRA|100MB|tv-futbol
589|FIBRA|600MB|tv-total
590|ADSL|25MB|tv-familiar
591|ADSL|25MB|tv-familiar
592|ADSL|20MB|tv-futbol
593|FIBRA|600MB|tv-familiar
594|FIBRA|50MB|tv-futbol
595|ADSL|15MB|tv-futbol
596|ADSL|10MB|tv-familiar
597|FIBRA|100MB|tv-futbol
598|FIBRA|50MB|tv-futbol
599|ADSL|30MB|tv-familiar
600|FIBRA|200MB|tv-futbol
601|ADSL|35MB|tv-futbol
603|ADSL|25MB|tv-familiar
604|ADSL|20MB|tv-familiar
605|ADSL|15MB|tv-familiar
606|ADSL|25MB|tv-familiar
607|ADSL|15MB|tv-futbol
608|FIBRA|200MB|tv-familiar
609|FIBRA|100MB|tv-futbol
610|ADSL|15MB|tv-familiar
611|ADSL|15MB|tv-total
612|FIBRA|200MB|tv-total
613|ADSL|15MB|tv-total
614|FIBRA|200MB|tv-familiar
615|ADSL|600MB|tv-total
616|ADSL|600MB|tv-familiar
617|FIBRA|100MB|tv-familiar
618|ADSL|15MB|tv-total
619|FIBRA|600MB|tv-futbol
620|ADSL|15MB|tv-familiar
621|FIBRA|100MB|tv-futbol
622|ADSL|30MB|tv-familiar
623|ADSL|300MB|tv-futbol
624|FIBRA|600MB|tv-futbol
625|FIBRA|50MB|tv-total
626|ADSL|25MB|tv-futbol
627|ADSL|30MB|tv-total
628|ADSL|35MB|tv-futbol
629|ADSL|30MB|tv-futbol
630|FIBRA|50MB|tv-futbol
631|FIBRA|200MB|tv-futbol
633|ADSL|30MB|tv-familiar
634|FIBRA|300MB|tv-futbol
636|ADSL|15MB|tv-total
639|FIBRA|50MB|tv-futbol
640|ADSL|30MB|tv-futbol
641|ADSL|35MB|tv-familiar
642|FIBRA|50MB|tv-futbol
643|FIBRA|50MB|tv-futbol
644|ADSL|30MB|tv-familiar
645|FIBRA|300MB|tv-futbol
646|FIBRA|200MB|tv-futbol
647|ADSL|20MB|tv-futbol
648|FIBRA|300MB|tv-futbol
649|ADSL|30MB|tv-futbol
650|FIBRA|200MB|tv-futbol
651|FIBRA|200MB|tv-futbol
652|FIBRA|100MB|tv-familiar
653|ADSL|15MB|tv-futbol
654|ADSL|30MB|tv-familiar
655|ADSL|50MB|tv-futbol
656|FIBRA|100MB|tv-total
657|ADSL|10MB|tv-familiar
658|FIBRA|300MB|tv-futbol
659|FIBRA|200MB|tv-futbol
660|ADSL|20MB|tv-futbol
661|FIBRA|600MB|tv-familiar
662|ADSL|25MB|tv-familiar
663|FIBRA|50MB|tv-futbol
665|ADSL|30MB|tv-total
666|ADSL|25MB|tv-familiar
667|FIBRA|50MB|tv-futbol
668|ADSL|20MB|tv-familiar
669|FIBRA|600MB|tv-total
670|ADSL|30MB|tv-futbol
671|ADSL|20MB|tv-futbol
672|ADSL|10MB|tv-familiar
673|ADSL|25MB|tv-familiar
674|FIBRA|200MB|tv-familiar
675|ADSL|30MB|tv-familiar
676|ADSL|35MB|tv-familiar
677|ADSL|30MB|tv-futbol
678|ADSL|10MB|tv-familiar
679|ADSL|35MB|tv-futbol
680|ADSL|10MB|tv-familiar
681|ADSL|35MB|tv-futbol
682|ADSL|30MB|tv-futbol
683|FIBRA|100MB|tv-futbol
684|ADSL|35MB|tv-futbol
685|ADSL|30MB|tv-futbol
686|FIBRA|600MB|tv-futbol
687|FIBRA|300MB|tv-total
688|ADSL|20MB|tv-futbol
689|ADSL|30MB|tv-futbol
690|ADSL|20MB|tv-total
691|FIBRA|100MB|tv-familiar
693|FIBRA|300MB|tv-futbol
694|FIBRA|50MB|tv-familiar
695|ADSL|25MB|tv-futbol
696|ADSL|15MB|tv-familiar
697|FIBRA|200MB|tv-futbol
698|FIBRA|50MB|tv-futbol
699|ADSL|20MB|tv-familiar
701|FIBRA|300MB|tv-familiar
702|FIBRA|200MB|tv-futbol
703|ADSL|15MB|tv-futbol
704|FIBRA|50MB|tv-futbol
705|FIBRA|300MB|tv-total
707|FIBRA|50MB|tv-familiar
708|FIBRA|300MB|tv-familiar
709|ADSL|15MB|tv-futbol
710|FIBRA|600MB|tv-futbol
711|ADSL|30MB|tv-futbol
712|FIBRA|50MB|tv-total
713|ADSL|10MB|tv-familiar
714|ADSL|20MB|tv-futbol
715|ADSL|30MB|tv-familiar
716|ADSL|25MB|tv-total
717|FIBRA|100MB|tv-familiar
718|FIBRA|100MB|tv-futbol
719|FIBRA|50MB|tv-familiar
720|FIBRA|50MB|tv-total
721|FIBRA|50MB|tv-familiar
723|ADSL|10MB|tv-total
724|ADSL|20MB|tv-total
726|FIBRA|50MB|tv-total
727|ADSL|15MB|tv-familiar
728|ADSL|20MB|tv-futbol
729|FIBRA|600MB|tv-futbol
730|ADSL|15MB|tv-familiar
731|ADSL|10MB|tv-futbol
732|ADSL|50MB|tv-futbol
733|ADSL|25MB|tv-futbol
734|ADSL|30MB|tv-familiar
735|FIBRA|50MB|tv-futbol
736|FIBRA|100MB|tv-familiar
737|ADSL|15MB|tv-futbol
738|ADSL|30MB|tv-familiar
739|ADSL|25MB|tv-familiar
740|FIBRA|300MB|tv-futbol
741|FIBRA|600MB|tv-futbol
742|FIBRA|300MB|tv-familiar
743|ADSL|10MB|tv-futbol
744|ADSL|15MB|tv-futbol
745|ADSL|25MB|tv-futbol
746|FIBRA|100MB|tv-futbol
747|FIBRA|50MB|tv-futbol
748|ADSL|15MB|tv-familiar
749|ADSL|25MB|tv-familiar
750|FIBRA|600MB|tv-futbol
751|FIBRA|300MB|tv-futbol
752|ADSL|50MB|tv-familiar
753|ADSL|30MB|tv-total
754|FIBRA|600MB|tv-familiar
755|ADSL|10MB|tv-futbol
756|FIBRA|200MB|tv-total
757|ADSL|35MB|tv-familiar
758|ADSL|35MB|tv-familiar
759|FIBRA|600MB|tv-familiar
760|FIBRA|50MB|tv-total
761|FIBRA|50MB|tv-futbol
762|FIBRA|200MB|tv-familiar
763|FIBRA|300MB|tv-familiar
765|ADSL|25MB|tv-futbol
766|ADSL|10MB|tv-futbol
768|ADSL|10MB|tv-futbol
770|FIBRA|300MB|tv-familiar
771|FIBRA|200MB|tv-futbol
772|ADSL|20MB|tv-familiar
773|ADSL|20MB|tv-familiar
774|ADSL|10MB|tv-familiar
775|ADSL|10MB|tv-familiar
776|FIBRA|300MB|tv-futbol
778|FIBRA|50MB|tv-familiar
779|ADSL|15MB|tv-futbol
780|ADSL|30MB|tv-total
781|FIBRA|300MB|tv-familiar
782|ADSL|30MB|tv-futbol
783|ADSL|20MB|tv-total
784|ADSL|35MB|tv-futbol
785|FIBRA|600MB|tv-total
786|FIBRA|300MB|tv-familiar
787|FIBRA|200MB|tv-futbol
788|FIBRA|200MB|tv-futbol
789|FIBRA|50MB|tv-familiar
790|ADSL|10MB|tv-futbol
791|ADSL|15MB|tv-familiar
792|FIBRA|100MB|tv-familiar
793|ADSL|10MB|tv-familiar
794|ADSL|35MB|tv-familiar
795|ADSL|20MB|tv-familiar
796|FIBRA|600MB|tv-familiar
797|ADSL|20MB|tv-futbol
798|FIBRA|200MB|tv-futbol
799|ADSL|25MB|tv-futbol
800|FIBRA|50MB|tv-futbol
801|ADSL|20MB|tv-futbol
802|ADSL|10MB|tv-futbol
803|ADSL|20MB|tv-total
804|FIBRA|200MB|tv-familiar
805|FIBRA|300MB|tv-total
