id|num_llamad_ent|num_llamad_sal|mb_datos|seg_llamad_ent|seg_llamad_sal
74|97|6|3291|13925|17918
75|154|47|22199|14483|4637
76|141|68|7385|16818|1451
77|235|10|21072|17396|4552
78|174|58|12612|13283|1325
79|118|53|15150|555|12434
80|194|23|18243|10029|2979
81|111|1|20927|10568|4172
82|222|16|3187|8486|522
83|68|83|10323|16232|4067
84|181|84|16544|1652|2733
85|181|16|6780|15525|15512
86|154|51|23505|16596|3094
87|235|25|20093|16242|4792
88|52|75|1485|3847|15748
89|56|8|21506|11866|7669
90|120|60|12644|6336|5575
92|206|68|11922|6683|3305
93|215|63|11329|11247|8809
94|155|50|4051|8630|16700
95|162|3|10791|8417|15541
96|45|31|20850|578|6708
97|61|73|15521|11545|31
98|203|88|3747|17749|11283
99|43|67|17600|627|713
100|60|36|17453|9441|1276
101|27|64|5349|17454|15899
102|213|26|8759|10701|18760
103|71|65|5203|13144|19224
104|99|79|18313|14003|10632
105|92|7|3826|14640|7006
106|60|70|13115|10224|19775
107|6|29|17439|12739|7878
108|93|78|14955|12594|3478
109|239|94|2329|4016|5038
110|88|98|13655|2632|16395
111|60|60|4223|17354|12853
112|62|25|821|6986|17384
113|198|93|13348|4580|3043
114|69|16|22264|14862|1115
115|98|24|23280|5136|19224
116|233|38|11994|14394|10677
117|10|78|75|14440|16594
118|138|14|9611|5165|7564
119|39|68|22197|1919|8952
120|122|48|3698|9930|6148
121|63|62|22682|18881|18803
122|78|68|15811|1628|9426
123|230|19|10417|4094|14952
124|238|58|17211|4591|5937
125|45|51|23400|8823|13247
126|17|40|22125|6952|600
127|199|16|3413|13711|2710
128|238|9|14896|2309|6006
129|217|37|5725|11786|973
130|107|70|18230|12459|11943
131|103|19|10858|9304|12046
132|195|40|5594|11520|13602
133|165|72|19495|281|13236
134|175|52|3602|12560|212
135|37|9|3675|15508|16199
136|6|30|24494|16039|13010
137|30|2|12196|3275|9826
138|27|89|20323|9321|318
139|213|42|183|472|12931
140|68|98|4483|5060|8504
141|25|82|20130|19369|3648
142|242|55|7697|8998|11291
143|97|80|6626|10787|13488
144|233|60|10474|5123|3847
145|199|13|13753|8770|10702
146|149|14|24075|2988|19319
147|217|4|24595|10992|11437
148|217|11|20500|10773|19761
149|241|58|12131|7711|19558
150|3|89|11543|16505|15013
151|142|63|22063|17495|7801
152|1|13|4794|15338|8866
153|174|77|20737|17589|4890
154|225|39|23141|19846|19900
155|228|37|22612|18549|6974
156|43|15|16871|15198|7055
157|111|23|4899|2293|432
158|66|85|4478|5054|5836
159|14|89|14568|16080|1364
160|201|93|19950|2794|6876
161|42|90|4783|9031|15715
162|139|11|5841|10934|16953
163|60|61|16641|17754|2660
164|239|39|12128|3720|2725
165|171|34|5368|17221|707
166|29|78|7302|17886|17198
167|107|78|22083|11854|13780
168|195|99|8023|13934|19728
169|48|68|21146|19943|17692
170|159|25|22969|4409|19771
171|224|29|470|17965|4853
172|233|65|14672|8087|7762
173|211|50|15647|2006|1825
174|164|51|7510|11735|4757
175|178|76|16987|5913|15107
176|250|64|8212|13186|319
177|123|52|24351|9596|17216
178|102|81|3137|17665|7968
179|156|98|18905|11381|10429
180|236|0|1355|4131|0
181|97|80|13180|6165|2700
182|35|60|9220|4243|10757
183|10|8|24896|6101|9220
184|7|29|19562|9277|7477
185|51|24|5756|12796|12993
186|56|45|4137|11868|774
187|112|25|1038|19270|14258
188|192|30|21061|18936|18513
189|167|76|20846|9556|7458
190|143|36|3227|9424|10272
191|122|51|319|12624|7747
192|4|27|16231|9583|15299
193|28|49|12066|17220|14126
194|205|95|23876|1066|15373
195|191|30|8936|17227|12101
196|84|59|5719|15079|11023
197|67|50|11286|6997|11146
198|154|84|19730|14251|7268
199|111|70|13091|2763|6050
200|102|99|12678|11624|19629
201|85|54|23707|3911|2230
202|130|65|3774|14579|16099
203|246|77|14018|19930|2363
204|36|45|3133|6124|15799
205|83|20|15732|6580|1552
206|56|82|2671|15595|3960
207|68|7|20585|16013|17550
208|229|55|21207|16234|10388
209|106|25|3300|5423|19955
210|0|75|18313|0|3405
211|194|11|8858|16173|17142
212|163|54|21031|13013|3993
213|127|24|2015|18146|6620
214|161|81|17017|14839|19584
215|26|0|23430|12809|0
216|116|90|6902|17662|6290
217|123|29|7259|8574|19855
218|82|3|9875|9703|18400
219|250|85|11173|822|5867
220|180|78|18637|14549|6771
221|221|72|10724|1246|17908
222|215|53|4170|17651|16798
223|246|60|23257|18264|19535
224|130|70|23204|498|4244
225|236|58|24756|85|19209
226|211|28|9728|18882|15130
227|80|66|5658|10862|18738
228|213|62|23690|16851|19547
229|199|9|18114|11364|229
230|124|15|4700|9532|15059
231|136|18|620|8891|16317
232|93|30|12682|11706|11959
233|191|15|19138|11683|8597
234|143|71|11881|2466|7370
235|101|34|14185|9709|19004
236|40|88|5584|14817|3707
237|44|56|7381|17778|4116
238|225|98|596|2466|12329
239|145|16|16617|11159|17830
240|3|27|21893|1827|18949
241|4|34|7292|15572|8254
243|75|36|23937|774|8915
244|243|49|2248|7537|19697
245|196|95|13058|18070|7656
246|194|98|16715|18454|10863
247|231|58|11194|6336|1895
248|194|60|5489|4457|19205
249|29|91|15684|357|18806
250|108|56|19749|15586|9569
251|157|87|10284|1033|4350
252|38|60|6101|11220|18038
253|67|21|17523|6243|17424
254|154|30|6327|3763|14465
255|133|67|7465|8399|15004
256|186|67|14511|1521|4880
257|200|7|17618|3052|161
258|134|60|13911|11635|14659
259|182|87|3122|9413|13136
260|236|100|23173|2951|18171
261|66|65|701|3637|18481
262|40|17|17126|17085|2589
263|149|43|22904|3662|16793
264|139|41|20926|12198|19897
265|41|0|13662|2902|0
266|206|11|6816|3200|18931
267|9|53|13024|17446|10416
268|25|34|20908|5292|8625
269|28|42|17701|6254|17200
270|197|79|17729|10545|17322
271|63|93|22661|9691|8320
272|250|71|23803|3966|15603
273|103|65|16764|4628|14804
274|45|90|8007|3550|19296
275|13|49|665|19661|15581
276|183|43|7157|10569|12632
277|221|37|22402|6749|8124
278|159|100|3450|19733|15822
279|235|38|11715|1928|18128
280|116|65|10362|11873|18236
281|36|29|2416|14795|8597
282|87|91|24673|16078|5080
283|72|77|946|19344|10104
284|61|62|21255|6433|4483
285|106|19|20248|9497|11976
286|244|35|14651|2102|14743
287|19|48|18736|759|12979
288|20|67|16391|2481|8862
289|26|12|3389|14056|1901
290|186|45|11181|13530|12582
291|6|60|12317|14976|10905
292|216|59|11974|12636|18276
293|124|89|13577|17407|2059
294|154|21|11692|18603|13803
295|71|24|3264|4765|18477
296|137|26|12800|7382|3436
297|23|70|16796|19570|6137
298|242|26|12826|13840|9010
299|63|61|1397|16293|11431
300|36|4|4222|2953|1675
301|67|86|4022|12529|19922
302|183|54|14836|12508|6442
303|201|23|9486|15326|117
304|126|91|22161|9676|371
305|157|29|14491|16292|13598
306|17|70|21136|11183|5835
307|148|93|16710|1679|13011
308|187|92|384|10819|12201
309|247|71|7210|5868|15531
310|172|76|8616|10003|18803
311|100|37|12672|18509|10868
312|65|7|5764|9459|17574
314|62|40|9305|4063|19427
315|2|26|17208|19674|18145
316|155|10|23862|3138|10673
317|112|40|3406|17095|11531
318|114|75|8341|12272|5367
319|70|14|17458|14781|19256
320|172|82|5146|4802|19526
321|158|21|22895|6510|19114
322|226|59|9644|16613|17233
323|33|15|15160|13371|5827
324|96|1|13561|13901|13230
325|68|45|15480|6096|14628
326|27|93|13068|15270|3089
327|138|17|6046|14420|14996
328|240|77|24128|17660|10485
329|224|79|15252|12533|19050
331|114|30|12526|10031|2906
332|75|7|10484|12363|5647
333|223|4|21736|15089|14374
334|187|51|15446|15135|8140
335|209|49|11544|16283|539
336|153|9|15726|13339|6382
337|42|2|8754|9894|10179
339|70|98|7070|18372|9263
340|91|79|20436|12904|14507
342|192|84|3278|11062|10582
343|112|93|1624|7376|14894
344|17|50|21319|4143|9891
345|37|29|18576|11917|11921
347|26|65|3675|7874|4572
349|226|21|22286|6317|13834
350|104|96|943|3182|5479
351|148|79|22975|10245|19347
352|192|38|19746|9930|10829
353|223|92|2663|5870|12101
354|246|70|13647|19028|13700
355|133|87|13560|1539|4354
356|60|15|24219|8099|12037
358|0|31|18691|0|9751
359|218|49|7787|4114|53
360|64|17|23374|12326|4533
361|231|76|13282|1798|3704
362|52|99|17090|9596|10833
363|139|44|1172|221|2202
364|57|48|1464|18374|17180
365|61|18|22207|18040|13620
366|170|64|16355|9175|3001
367|61|78|1842|619|16209
368|41|40|12226|9410|11168
369|4|58|11949|6577|4444
370|187|83|903|9145|11262
371|8|9|10561|10144|12429
372|100|82|18658|18404|3871
373|181|26|22050|2764|11313
374|83|33|21722|19121|2703
375|132|42|17092|4017|18208
376|202|31|11298|15224|9190
377|24|3|1189|1825|3530
378|167|91|21727|19590|4932
379|8|23|1872|12610|19468
380|85|60|18392|4913|12567
381|134|75|6505|5761|10059
382|184|9|23983|7526|9446
386|233|37|13721|9693|17843
387|121|13|682|4852|7114
388|204|1|14924|3000|5519
389|137|53|13832|470|15068
390|48|1|16593|11870|15371
391|144|33|11154|8906|14803
392|61|38|592|16183|7106
393|216|79|8377|1944|8251
394|188|21|9796|19602|7650
395|223|26|4416|730|15739
396|13|83|5855|4295|3120
397|78|18|14197|3276|8511
398|144|17|1049|15308|10226
399|240|47|8124|16938|7330
400|145|21|6956|10675|657
401|237|69|4223|6125|15290
402|132|95|23574|12806|16761
403|233|6|16616|1885|15415
404|137|38|16210|2142|4284
405|126|54|7523|15206|19041
406|221|23|1286|17681|7941
407|38|1|7273|19651|9918
408|228|94|8396|2513|5950
409|116|39|7444|5886|14900
410|80|14|4507|4703|3922
411|82|62|14416|5801|17380
412|73|1|10094|9299|248
413|238|8|3983|4194|13267
414|233|89|23845|2639|5811
415|128|50|6733|6571|8581
416|109|46|17099|9092|7622
417|48|89|10734|18781|7595
418|76|74|7722|3406|19193
419|9|64|12359|6995|7623
420|198|69|24886|18624|15426
421|232|35|23466|13267|15044
422|183|93|2546|11281|16717
423|240|31|22360|7943|19304
424|220|8|11302|19507|1820
425|55|83|10116|9080|3126
426|123|0|13257|8289|0
427|232|62|18457|17429|15453
428|188|5|15658|17418|14310
429|22|16|1659|4143|1711
430|46|53|2343|19738|2925
431|97|63|21472|2637|18408
432|177|7|4072|3628|12198
433|77|64|15535|5569|17646
434|172|83|5737|14881|9135
435|150|92|4986|9608|16147
437|220|67|10224|363|13540
438|93|35|8819|15052|19391
439|31|66|14936|5401|11133
440|162|38|8557|8776|11505
441|21|66|18905|9327|4151
442|241|20|23440|13816|2894
443|80|43|16030|14814|3297
444|11|90|4898|18874|18840
445|237|87|4114|12231|7460
446|91|72|19041|7420|2988
447|113|81|22553|15227|13537
448|224|62|12671|9172|11924
449|11|24|21294|2744|17063
450|53|70|5772|13282|14301
451|173|71|15113|12098|13940
452|239|40|1431|12226|12568
453|249|99|17836|1831|11989
454|235|23|11881|18702|14067
455|231|65|15224|9487|2665
456|73|28|4119|19600|15697
457|90|12|10523|5556|4789
458|151|81|13775|12506|8224
459|117|95|19030|9632|9878
460|246|72|21523|13543|5926
461|240|60|22938|5220|15058
462|179|56|6378|6476|15878
463|27|84|22341|5376|5313
464|221|5|11580|3288|9152
465|189|94|19600|8688|5687
466|11|85|23670|17824|4958
467|156|46|22831|18003|6075
468|121|88|8242|19525|11242
469|241|70|15878|16196|11971
470|135|48|8658|16272|258
471|59|88|21704|19175|14137
472|21|28|2659|18648|6446
473|19|12|24977|7054|18863
474|4|2|17486|10038|12048
475|128|71|2875|19622|19345
476|125|84|14066|1567|7138
477|184|31|20145|5241|17802
478|185|37|4135|9025|15925
479|168|95|9908|1692|15714
480|218|65|23005|17703|3662
481|15|65|4727|11754|18049
482|146|54|6969|12538|12345
483|83|96|11642|7122|18250
484|89|17|17848|7387|4293
485|54|4|11571|11151|15750
487|8|13|11582|9049|6617
488|111|36|4721|19366|12264
489|226|15|24644|7042|8701
490|185|75|3388|17292|13854
491|8|34|13948|14980|1502
492|78|4|11069|7042|18515
493|183|56|8258|17935|4975
494|203|81|5680|6287|9502
495|140|25|18374|11560|3921
496|250|86|2816|3741|9850
497|227|2|15322|4133|526
498|45|19|20520|19777|788
500|241|78|18656|849|2997
501|227|72|4042|12373|5707
502|22|74|20941|8517|12994
504|32|83|1606|9846|1358
505|62|31|10140|772|7492
506|107|2|13798|12742|19009
507|38|28|7860|18040|8132
508|123|99|988|1046|16665
510|89|55|7932|751|15209
511|231|35|12543|16956|14313
512|151|81|8833|18691|7095
513|89|71|10634|8971|17066
514|149|16|24631|13052|3503
515|157|81|4970|11896|10722
516|77|86|10726|10687|3797
517|145|69|1782|6113|7841
518|154|0|2057|12140|0
519|11|62|9158|8099|11240
520|108|37|3553|9239|19710
521|73|69|4289|7411|17559
522|107|32|14806|10508|786
523|22|22|3801|17541|4470
524|118|5|21473|2125|1723
525|105|55|681|9249|1457
526|10|56|8518|11956|14944
527|249|74|6480|4873|11579
528|198|23|6061|5507|7945
529|64|2|10205|4099|9086
530|20|100|15762|12809|16086
531|163|41|17778|13747|8302
532|169|61|4459|13167|4673
533|160|91|8387|12041|13952
534|85|71|20164|2757|3262
535|45|89|13178|5994|15705
536|100|75|21435|13705|13582
537|144|30|16821|14138|17269
538|237|7|4881|3143|13834
539|150|91|749|17824|18241
540|40|76|8444|18234|11606
541|136|56|7732|11630|6422
542|153|39|6863|4384|8238
543|22|70|1110|7793|19001
544|154|30|18478|6348|8553
545|125|81|365|269|17391
546|65|28|3779|12831|6790
547|168|0|14018|8004|0
548|245|5|20238|1411|507
549|155|55|4467|1443|6523
550|91|75|24643|13154|1663
551|24|61|358|10280|15542
552|66|81|5355|13602|18661
553|44|64|20464|6908|19970
554|0|23|17663|0|17498
557|4|77|457|15161|4930
558|110|11|23820|11006|290
559|132|61|4211|3726|16209
560|70|44|13798|14442|1789
561|163|27|4204|19547|12291
562|128|29|22503|7721|982
563|23|46|2142|13979|19894
564|235|77|1783|785|18269
565|149|70|21136|10466|18867
566|174|27|2174|15591|9202
567|123|6|18600|2119|12757
568|34|27|10094|3478|12113
569|17|33|18747|5295|9309
570|43|31|13965|10057|1917
571|214|78|22039|4111|7157
572|61|19|24889|16431|18354
573|209|16|24199|1412|11766
574|164|27|6608|16455|8226
575|168|57|22526|15059|8543
576|22|76|9077|18088|16127
577|79|47|3803|11933|16434
578|239|4|12535|11123|15601
579|51|92|23856|2534|7723
580|91|47|1493|12203|1665
581|250|20|19506|2144|17072
582|139|77|6491|3453|4047
583|147|84|3040|746|17389
584|138|30|7364|16596|19457
585|101|60|11316|987|13837
586|166|50|10045|16252|2588
587|7|79|11687|14535|18385
588|91|5|7873|1979|15774
589|232|1|22676|17486|5730
590|7|31|15304|11757|12476
591|194|59|19572|16314|17697
592|41|59|9141|2908|13722
593|147|60|1600|4626|7033
594|139|2|6228|13159|4557
595|138|56|5067|632|17415
596|38|41|18939|135|1167
597|104|71|12833|18748|18563
598|94|46|430|15494|8935
599|77|64|4585|5141|9189
600|224|10|890|246|4337
601|173|10|19560|149|6430
603|3|91|17561|1149|6340
604|36|46|23670|10083|15936
605|144|30|6000|13206|3512
606|180|7|16987|6698|3363
607|224|73|17199|2257|2571
608|169|72|1720|17870|6807
609|87|27|15223|17148|2405
610|136|8|6507|2491|10768
611|112|3|19257|5395|5011
612|127|10|4672|5861|19262
613|114|6|3722|6316|12590
614|79|35|2609|9464|2462
615|180|16|19662|5627|8459
616|19|50|16511|8739|3279
617|191|47|19404|5420|556
618|187|58|7149|10658|503
619|190|98|22286|5746|17907
620|121|57|6072|15712|5557
621|248|77|13217|5432|7086
622|18|92|16228|15162|11507
623|193|24|9820|15594|16190
624|205|57|325|7382|5370
625|2|93|22403|14079|4863
626|168|75|19821|6097|13179
627|188|70|12191|15077|15905
628|224|83|14050|3035|12039
629|173|42|4399|4088|16360
630|112|17|16408|15874|7898
631|74|52|16453|6791|2896
633|215|33|12660|3882|16659
634|121|3|15805|706|19545
636|206|40|11775|11763|15690
639|112|28|18557|7984|13369
640|100|41|1964|2595|1829
641|102|62|1321|14758|17547
642|245|62|3289|5078|4205
643|154|57|10771|6489|17775
644|140|89|7983|19422|14147
645|137|75|10485|12913|5646
646|165|66|15572|18925|13728
647|53|52|7391|12923|9311
648|183|55|16151|9414|15267
649|93|8|17388|17344|16175
650|110|53|10118|14061|14173
651|8|11|14564|9963|11377
652|141|54|17509|9226|12961
653|58|36|23669|6755|6178
654|29|2|5671|16794|962
655|108|74|18527|4435|8421
656|42|43|1773|10938|1473
657|152|61|20993|9298|19523
658|95|51|9823|3743|7959
659|205|20|7576|10110|2044
660|243|93|12170|9006|9700
661|110|60|18782|2258|9345
662|136|89|16455|15703|11519
663|60|74|21363|7661|7750
665|129|2|10767|7686|10070
666|17|59|23839|18099|14377
667|79|0|1080|8856|0
668|100|37|20579|6951|701
669|210|16|15674|9194|6232
670|15|79|472|13235|6426
671|59|99|6259|13301|14585
672|202|38|1334|13489|14771
673|72|75|7768|15741|6525
674|34|72|2428|6833|17618
675|44|88|17726|11495|10856
676|157|62|19045|18156|10045
677|166|79|7060|15452|2916
678|41|20|10872|2370|18150
679|174|36|8651|18975|10629
680|224|62|1367|3790|12356
681|29|6|14354|12523|19002
682|68|4|9610|14764|10836
683|21|29|333|14674|2012
684|198|78|18298|18740|13650
685|105|66|8691|11830|13971
686|31|48|957|3907|1395
687|35|72|15540|2014|13330
688|107|48|13220|12073|30
689|196|69|10092|18875|4014
690|95|7|19611|7945|18358
691|104|30|12108|888|12152
693|227|92|24120|2832|5941
694|209|51|21458|11547|12605
695|59|51|22534|4927|7872
696|56|43|19279|9363|3741
697|66|1|7548|17171|2215
698|127|66|4787|12516|9548
699|146|69|22378|9985|15456
701|230|59|2714|8406|17337
702|225|71|4499|17560|8871
703|173|79|6606|17099|4454
704|152|5|9189|15338|3199
705|192|96|24702|541|10823
707|223|33|4364|15285|13775
708|189|31|8128|14587|3100
709|226|29|22771|17134|1383
710|79|29|8317|3005|1443
711|77|83|1605|3127|17259
712|185|42|20444|9078|2378
713|177|4|9023|14555|14261
714|92|61|12101|8589|10347
715|64|69|23542|6576|2376
716|115|68|24610|7716|6515
717|73|100|17760|17637|8918
718|96|90|12038|15334|9095
719|105|69|3481|11525|17979
720|145|76|8050|14989|15157
721|46|4|1720|2506|8020
723|30|18|4261|6614|5870
724|4|30|23260|6304|18923
726|22|70|21017|18724|9293
727|51|44|20478|15171|9650
728|23|54|23747|19158|3213
729|172|39|12709|17705|3704
730|226|66|23862|14432|19204
731|96|73|21315|6340|7659
732|89|51|19482|1141|3171
733|36|34|17124|4909|12419
734|210|38|9956|12049|19247
735|129|73|15383|19145|328
736|180|19|16224|6718|1190
737|77|100|20227|6511|273
738|159|4|7056|13900|17747
739|119|95|24945|18434|9066
740|8|52|6746|7654|10894
741|226|75|5582|10754|13016
742|215|17|7334|1417|9532
743|55|93|12643|14071|15552
744|50|18|8418|1430|10857
745|193|52|7963|7530|2240
746|46|7|2879|8619|11431
747|51|38|20756|17796|4401
748|188|52|18403|11687|16570
749|189|57|1228|8381|14706
750|65|95|19248|6674|9608
751|40|98|7433|6480|19391
752|208|31|17844|6989|13818
753|202|13|6372|15070|6415
754|103|30|6322|16074|1641
755|194|15|772|1358|2942
756|180|85|3917|10311|11347
757|193|74|18468|16869|18120
758|163|37|13702|3691|3
759|212|15|2950|10338|6017
760|141|96|63|12258|17554
761|92|39|12917|19507|9444
762|148|95|10502|19771|510
763|82|4|20458|6503|18497
765|188|59|13565|1033|12466
766|17|2|1666|10800|17267
768|150|42|17359|1572|15016
770|48|32|23929|7078|16473
771|246|22|23636|223|9571
772|165|54|21162|15774|18528
773|167|50|3641|3137|3083
774|200|80|6290|5754|8748
775|235|20|8994|6219|2941
776|67|52|1778|8310|11504
778|179|37|23383|10906|10355
779|137|3|15325|11082|12302
780|95|94|23601|4955|18245
781|202|4|12272|11064|8634
782|231|88|9226|7840|7318
783|212|38|10129|1625|12482
784|4|93|16407|3506|9883
785|98|78|10804|5845|17059
786|188|86|14510|19213|14450
787|242|18|2921|1169|8940
788|29|45|19477|2158|14387
789|237|47|1937|2285|4810
790|79|45|7436|14250|14363
791|242|44|112|4194|8775
792|166|39|8556|17662|12855
793|130|86|14243|4142|11109
794|59|12|17723|3588|17333
795|122|7|14764|5905|18009
796|184|47|11906|1506|2
797|13|8|3081|15580|9366
798|187|17|7512|14726|1295
799|186|50|2685|9262|2548
800|89|21|20152|5836|500
801|125|1|8449|1120|17357
802|231|1|19693|14836|7252
803|85|95|18802|13310|911
804|108|77|16380|11051|9934
805|90|98|4407|2811|7245
807|19|23|43|13982|13205
808|214|94|18190|9265|4155
809|78|41|12770|10658|7889
810|204|43|24705|8575|14541
811|64|22|4309|19916|12823
812|58|49|14122|7469|4559
813|101|13|3418|6488|3479
814|223|39|2769|8880|10001
815|179|65|5934|18875|19090
816|142|48|14782|19894|18545
817|45|28|2490|5878|7382
819|59|59|17045|10038|8964
820|19|75|19216|3267|2170
821|87|94|23430|19212|7820
822|37|78|23247|5211|4878
823|225|49|19455|4377|1578
824|233|91|18506|6499|17468
825|152|21|1274|2660|2114
826|31|90|1557|12750|10479
827|8|96|20248|2960|1670
828|155|75|472|9701|6829
829|180|62|15565|3664|2255
830|78|37|11482|11020|10819
831|171|19|3852|13608|15547
832|190|19|19444|3681|18338
834|148|67|16399|1427|1294
835|200|14|539|4615|337
836|149|97|1006|2483|8909
837|175|65|21491|19481|3573
838|91|80|9933|10332|2648
839|154|13|13806|14274|8887
840|228|95|24566|9117|16986
841|245|76|23053|18528|2819
843|203|65|10869|11427|13852
844|114|42|7210|9732|696
845|230|83|24724|18112|6255
846|160|25|11969|19471|8434
847|216|79|24033|5198|11130
848|188|67|7329|6781|18702
849|208|20|20968|14665|6692
850|92|81|1945|18600|3004
851|21|34|13158|17475|3577
852|242|31|11040|7266|3041
853|165|65|8380|19219|3080
854|22|45|14713|16858|7969
855|86|63|18765|16744|18606
856|152|82|17221|8739|10373
857|138|94|17882|19910|2295
858|117|25|7368|11190|10637
859|52|6|2093|19604|8125
860|171|15|5131|13178|10478
861|149|85|8359|6490|7794
862|168|51|12054|2531|1427
863|5|95|13767|9394|12226
865|122|68|21570|8632|1996
866|200|68|13238|12447|15696
867|80|67|11918|10977|18514
868|60|89|13424|4454|15242
869|225|19|10998|19859|2873
870|212|97|8336|4409|3011
871|184|11|9934|9851|9610
872|80|16|9564|5239|5785
874|233|74|18885|11849|9625
875|3|46|1377|1993|17502
876|190|38|17320|17781|2233
877|63|70|9397|16200|14914
878|88|32|7394|10047|7720
879|214|81|11478|1571|12763
880|18|29|12331|6108|10213
881|165|55|9909|4520|14314
882|103|6|842|9817|17830
883|141|39|1375|18094|16771
884|116|85|10143|14989|8418
885|129|37|24946|1507|6184
886|133|31|23454|3139|17107
887|14|44|24605|5356|19158
888|95|5|9886|19928|12887
889|72|16|5183|17063|11696
890|22|53|15723|8543|18900
891|28|83|20341|16853|4867
892|77|75|24582|14418|4414
893|183|77|20380|4574|9113
894|106|47|21082|13402|13724
895|197|47|7807|17173|10061
896|9|90|5982|1708|631
897|50|24|1025|16524|1659
898|218|67|4245|2839|13504
899|103|4|13306|15101|6323
900|81|64|3795|4142|15315
901|244|75|12388|14080|17860
902|55|45|1500|3511|15648
903|237|50|233|808|3835
904|143|54|22566|18164|17451
905|85|11|3908|17004|16146
906|198|21|8429|14935|5934
907|16|85|7984|1071|8223
908|233|16|1925|5261|11236
909|38|98|5112|13614|12814
910|22|23|13362|11135|7999
911|36|38|24231|15181|13184
912|0|15|22028|0|6899
913|174|0|20851|304|0
914|141|63|1566|8434|14942
915|138|6|15123|11143|6776
916|228|71|4958|7106|9980
917|5|31|9751|12781|14192
918|104|88|15237|18841|4494
919|79|25|10913|16868|10447
920|57|20|6380|1201|2870
921|182|96|24177|17524|18019
922|42|50|18446|14580|10573
923|180|50|19735|19654|11669
924|131|57|7599|12348|9559
925|236|47|10849|10584|12708
926|204|69|14113|4420|1024
927|155|11|7857|9203|18275
928|135|49|23363|18882|12239
929|111|40|491|19943|3128
930|36|69|5138|12974|11584
932|89|7|16700|8326|2237
933|35|53|680|4007|2391
934|217|88|6664|18499|4441
935|45|89|17570|16464|10968
936|164|19|22063|4952|7179
937|18|91|23403|12295|8262
938|6|17|15428|14090|17421
939|124|86|2996|11279|6392
940|125|20|11258|10965|10283
941|193|31|23949|8733|12759
942|184|12|11988|12652|15958
943|180|81|14220|7559|18825
944|217|7|15046|2788|9833
945|105|44|11165|12976|9150
946|191|21|24451|10194|17994
947|21|2|23407|1491|6872
948|13|59|17925|7087|9492
949|106|15|9900|17297|7186
950|193|65|4907|14094|6450
951|229|31|13373|7925|630
952|27|8|911|4177|11457
953|70|83|7959|5785|11490
954|3|95|19532|12859|14252
956|196|86|20312|12625|3123
957|70|26|9175|2654|19942
958|118|11|20991|2625|3808
959|104|66|24977|14817|8183
960|50|85|450|16469|4558
961|35|48|15571|5726|3554
962|149|65|9710|5480|4885
963|183|91|12116|326|7641
964|74|63|16368|9980|15245
965|232|67|13778|17106|19485
966|133|49|1273|7081|3805
967|201|7|6924|13497|2817
968|158|91|8724|2503|19059
969|48|100|19807|5870|2957
970|34|8|14142|10635|6443
971|23|42|19180|10456|5438
972|222|17|667|5983|10745
973|214|80|10368|2401|18375
974|31|87|5007|3336|5403
975|65|67|17778|9335|12079
976|114|14|10944|6222|17493
977|42|35|22174|3486|16152
978|84|58|17756|15333|13694
979|240|69|9871|16069|14038
